Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bolivia,BOL,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,23273000,21950000,34239000,35930000,56695000,57940000,78394000,110428000,283488000,165939000,148894000,131799000,126822000,109764000,153618000,177923000,107194000,91467000,196543000,158728000,200145000,152419000,134508000,173324000,177792000,177224000,202940000,233670000,236982000,269154000,438374000,343975000,348460000,281945000,357500000,316060000,209232000,525283000,767456000,454200000,568218000,357623000,557959000,428447000,816660000,796721000,550229000,1224689000
Brazil,BRA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,462601000,574107000,769808000,1164603000,1938718000,2259920000,2556060000,3711682000,5247707000,6561629000,6884341000,7463455000,7620997000,3717125000,4401384000,2336680000,3259967000,3518006000,3331516000,8133142000,5179529000,4277841000,4305644000,6587643000,9650750000,11046655000,14741024000,26406168000,35934442000,48437634000,34745615000,32863771000,32435483000,29552500000,34649560000,25787635000,47429109000,40466432000,40354816000,30473000000,32026156000,41777623000,30590393000,63750404000,44956442000,71342159000,94709388000,85045159000
Barbados,BRB,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645000,4066000,2939000,5237000,4085000,4649000,5095000,7172000,4305000,4858000,7027000,4923000,4725000,4538000,4521000,4820000,6739000,4620000,5900000,23921000,43469000,41058000,46645000,45471000,68980000,39328000,42116000,91711000,41897000,173934000
Botswana,BWA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,182000,301000,396000,251000,251000,3700000,1102000,2415000,3622000,3498000,5972000,1983000,3989000,11907000,16805000,26691000,17417000,37514000,40048000,37347000,66453000,53413000,61312000,56377000,61433000,63940000,72785000,74100000,53043000,52312000,52132000,39254000,44609000,38046000,36800000,40458000,44509000,36965000,60917000,35931000,57911000,55418000,33230000,154972000,38961000,219030000,139673000,140931000
Central African Republic,CAF,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,2435504.9,1624873.6,1114753.7,3495781.8,3477270.9,3558935.9,1887247.2,3103153.3,2553726.2,286218.2,1005970.6,2671789.3,2373710.5,10852475.3,8356855.7,4870983,6319390,9301737.6,4812394,8166555.1,7598113.8,3521163.1,5146692.7,1727921.5,7681011.5,2580475.5,1830796.4,4093231.5,12277310,7053927.7,7451472.5,9060494.8,307408.1,124123.3,5165262.6,712077.9,46988995.6,42385717.7,11322884.3,8374638.7,1045531.9,774685.1,2146108.1,3512936.5,7241541.9,858493.9,4033707.7,12059676.3
Canada,CAN,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1204460000,1302175000,1389313000,1288334000,1299956000,1876368000,1955865000,2284952000,2364562000,3318935000,4122742000,5213021000,6727040000,6343427000,9069502000,10259682000,11526473000,11209065000,19489639000,19363538000,17009145000,24714751000,30269143000,16289341000,20937757000,18121722000,20404933000,23958628000,33448481000,18764619000,24949338000,29828606000,36680831000,38158073000,83946219000,91041783000,103951785000
Cote d'Ivoire,CIV,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,30465000,31691000,41998000,46720000,81408000,83195000,126239000,181189000,252994000,401791000,722207000,705184000,644244000,514249000,315820000,250613000,397518000,628720000,401099000,334139000,498024000,513183000,502448000,535196000,710574000,538892000,812320000,623254000,670087000,823415000,442102000,301101000,435025000,323996000,207430000,163985000,160279000,298582000,782294000,697698000,623385000,567591000,514178000,767284000,638549000,457102000,1087129000,905236000
Cameroon,CMR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,6445000,9297000,11428000,18886000,18475000,27746000,27215000,36576000,71986000,91884000,113976000,124628000,195866000,169537000,202825000,467770000,428209000,389127000,378815000,203018000,267652000,201369000,148640000,234946000,198056000,210968000,242262000,266063000,269000000,267553000,252761000,187878000,193832000,239650000,339184000,537185000,343189000,363558000,341231000,343789000,159301000,244428000,173295000,146047000,283563000,242417000,515296000,444615000
"Congo, Dem. Rep.",COD,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,25430000,29940000,44181000,63833000,126652000,89155000,37796000,45721000,50750000,82702000,191961000,84046000,59243000,84199000,102187000,104974000,104012000,81407000,79983000,97586000,48782000,41302000,29085000,4430000,430000,0,0,0,0,0,0,0,248346000,55587000,58773000,112170000,141853000,155184000,169971000,225772000,89095000,132933000,108495000,242428000,260447000,214874000,273768000,236399000
"Congo, Rep.",COG,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,5818000,5537000,4729000,7416000,12738000,19902000,11522000,21900000,12269000,41810000,33620000,107513000,125791000,216562000,243357000,252550000,223325000,312096000,299767000,207038000,349771000,220827000,116807000,102942000,301942000,85463000,154648000,67456000,10177000,912000,6489000,55645000,11452000,28117000,110745000,65351000,49669000,73604000,106845000,114032000,116347000,114388000,141252000,264600000,262087000,184982000,114615000,173264000
Colombia,COL,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,153053000,175132000,192713000,210967000,290225000,187444000,226518000,235630000,294684000,462593000,277827000,392014000,415574000,630908000,702503000,761623000,1113112000,1393802000,1786935000,2165508000,2190828000,2216842000,2617332000,2416182000,3891789000,2361063000,3378754000,2515311000,2590078000,3944500000,2915772000,3632971000,4620473000,6174011000,5254583000,7423465000,7772270000,5595754000,4914005000,5924769000,6558998000,6540591000,11362083000,6129936000,10293957000,9078615000,8366791000,10619839000
